Plan,Cloud,Compute type,Instance,vCPU,Memory (GB),DBU/hour,Rate/hour,Instance_df_1,instanceFamily,instanceFamilyName,location,locationName,locationType,locationContinent,currentGeneration,supportedUsageClasses,processorArchitectures,processorClockSpeedInGhz,processorManufacturer,processor,processorFeatures,vCpus,vCpuCores,memorySizeInMiB,storage,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,spotWindowsHr,spotWindowsMonth
Enterprise,AWS,Jobs Compute,17i.large,2,16,0.98,0.196,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i7i.xlarge,4,32,1.95,0.39,i7i.xlarge,i7i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon Scalable (Emerald Rapids),Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,4,2,32768,1 x 937 NVMe SSD,0.3775,275.57,0.1222,89.21,0.2578,188.19
Enterprise,AWS,Jobs Compute,171.2xlarge,8,64,3.9,0.78,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i7i.4xlarge,16,128,7.8,1.56,i7i.4xlarge,i7i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon Scalable (Emerald Rapids),Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,16,8,131072,1 x 3750 NVMe SSD,1.5101,1102.37,0.6693,488.59,0.9978,728.39
Enterprise,AWS,Jobs Compute,171.8xlarge,32,256,15.6,3.12,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i7i.12xlarge,48,384,23.4,4.68,i7i.12xlarge,i7i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon Scalable (Emerald Rapids),Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,48,24,393216,3 x 3750 NVMe SSD,4.5302,3307.05,1.9045,1390.29,3.0147,2200.73
Enterprise,AWS,Jobs Compute,171.16xlarge,64,512,31.2,6.24,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i71.24xlarge,96,768,46.8,9.36,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i7i.48xlarge,192,1536,93.6,18.72,i7i.48xlarge,i7i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon Scalable (Emerald Rapids),Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,192,96,1572864,12 x 3750 NVMe SSD,18.121,13228.33,8.8657,6471.96,12.1347,8858.33
Enterprise,AWS,Jobs Compute,i8g.large,2,16,1.03,0.206,i8g.large,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,2,2,16384,1 x 468GB,0.1716,125.27,0.0621,45.33,0,0
Enterprise,AWS,Jobs Compute,i8g.xlarge,4,32,2.07,0.414,i8g.xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,4,4,32768,1 x 937GB,0.3432,250.54,0.1518,110.81,0,0
Enterprise,AWS,Jobs Compute,i8g.2xlarge,8,64,4.13,0.826,i8g.2xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,8,8,65536,1 x 1875GB,0.6864,501.07,0.2151,157.02,0,0
Enterprise,AWS,Jobs Compute,i8g.4xlarge,16,128,8.26,1.652,i8g.4xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,16,16,131072,1 x 3750GB,1.3728,1002.14,0.4432,323.54,0,0
Enterprise,AWS,Jobs Compute,i8g.8xlarge,32,256,16.52,3.304,i8g.8xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,32,32,262144,2 x 3750GB,2.7456,2004.29,0.8766,639.92,0,0
Enterprise,AWS,Jobs Compute,i8g.12xlarge,48,384,24.78,4.956,i8g.12xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,48,48,393216,3 x 3750GB,4.1184,3006.43,2.317,1691.41,0,0
Enterprise,AWS,Jobs Compute,i8g.16xlarge,64,512,33.04,6.608,i8g.16xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,64,64,524288,4 x 3750GB,5.4912,4008.58,1.083,790.59,0,0
Enterprise,AWS,Jobs Compute,i8g.24xlarge,96,768,49.56,9.912,i8g.24xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,96,96,786432,6 x 3750GB,8.2368,6012.86,2.6969,1968.74,0,0
Enterprise,AWS,Jobs Compute,i8g.metal-24xl,96,768,49.56,9.912,i8g.metal-24xl,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,96,96,786432,6 x 3750GB,8.2368,6012.86,4.1557,3033.66,0,0
Enterprise,AWS,Jobs Compute,i8g.48xlarge,192,1536,99.12,19.824,i8g.48xlarge,i8g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.8,AWS,AWS Graviton4 Processor,,192,192,1572864,12 x 3750GB,16.4736,12025.73,3.2164,2347.97,0,0
Enterprise,AWS,Jobs Compute,d3.xlarge,4,32,1.6,0.32,d3.xlarge,d3,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,4,2,32768,3 x 2000 HDD,0.499,364.27,0.155,113.15,0.2696,196.81
Enterprise,AWS,Jobs Compute,d3.2xlarge,8,64,3.2,0.64,d3.2xlarge,d3,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,8,4,65536,6 x 2000 HDD,0.999,729.27,0.3844,280.61,0.5487,400.55
Enterprise,AWS,Jobs Compute,d3.4xlarge,16,128,6.4,1.28,d3.4xlarge,d3,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,16,8,131072,12 x 2000 HDD,1.998,1458.54,0.7666,559.62,1.0982,801.69
Enterprise,AWS,Jobs Compute,d3.8xlarge,32,256,12.8,2.56,d3.8xlarge,d3,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,32,16,262144,24 x 2000 HDD,3.9955,2916.73,1.5154,1106.24,2.1571,1574.68
Enterprise,AWS,Jobs Compute,d3en.xlarge,4,16,1.68,0.336,d3en.xlarge,d3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,4,2,16384,2 x 14000 HDD,0.526,383.98,0.1599,116.73,0.2769,202.14
Enterprise,AWS,Jobs Compute,d3en.2xlarge,8,32,3.36,0.672,d3en.2xlarge,d3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,8,4,32768,4 x 14000 HDD,1.051,767.23,0.3389,247.4,0.5549,405.08
Enterprise,AWS,Jobs Compute,d3en.4xlarge,16,64,6.72,1.344,d3en.4xlarge,d3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,16,8,65536,8 x 14000 HDD,2.103,1535.19,0.6543,477.64,1.1253,821.47
Enterprise,AWS,Jobs Compute,d3en.6xlarge,24,96,10.08,2.016,d3en.6xlarge,d3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,24,12,98304,12 x 14000 HDD,3.154,2302.42,1.0391,758.54,1.6814,1227.42
Enterprise,AWS,Jobs Compute,d3en.8xlarge,32,128,13.44,2.688,d3en.8xlarge,d3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,32,16,131072,16 x 14000 HDD,4.2058,3070.2,1.398,1020.54,2.2246,1623.96
Enterprise,AWS,Jobs Compute,d3en.12xlarge,48,192,20.16,4.032,d3en.12xlarge,d3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8259 (Cascade Lake),AVX; AVX2; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,48,24,196608,24 x 14000 HDD,6.3086,4605.31,1.7914,1307.72,3.3563,2450.1
Enterprise,AWS,Jobs Compute,c4.2xlarge,8,15,1,0.2,c4.2xlarge,c4,Compute optimized,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.9,Intel,Intel Xeon E5-2666 v3 (Haswell),Intel AVX; Intel AVX2; Intel Turbo,8,4,15360,EBS only,0.398,290.54,0.1553,113.37,0.4381,319.81
Enterprise,AWS,Jobs Compute,c4.4xlarge,16,30,2,0.4,c4.4xlarge,c4,Compute optimized,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.9,Intel,Intel Xeon E5-2666 v3 (Haswell),Intel AVX; Intel AVX2; Intel Turbo,16,8,30720,EBS only,0.796,581.08,0.2852,208.2,0.8829,644.52
